IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,value,PUBLIC_ID
"getNextPvId()","","MONDO_0013257","","LPRS6","m_infertility_disorder"
"getNextPvId()","","MONDO_0041751","","multibacillary leprosy","m_infertility_disorder"
"getNextPvId()","","MONDO_0041752","","paucibacillary leprosy","m_infertility_disorder"
"getNextPvId()","","MONDO_0005125","","borderline leprosy","m_infertility_disorder"
"getNextPvId()","","MONDO_0005126","","tuberculoid leprosy","m_infertility_disorder"
"getNextPvId()","","MONDO_0005127","","lepromatous leprosy","m_infertility_disorder"
"getNextPvId()","","MONDO_0006845","","male genital tuberculosis","m_infertility_disorder"
"getNextPvId()","","MONDO_0001537","","tuberculous epididymitis","m_infertility_disorder"
"getNextPvId()","","MONDO_0020092","","rare idiopathic male infertility","m_infertility_disorder"
"getNextPvId()","","MONDO_0023554","","acquired testicular failure","m_infertility_disorder"
"getNextPvId()","","MONDO_0042605","","Y chromosome infertility due to DAZ1 deletion","m_infertility_disorder"
